,SnapId,2080020,2080021,2080022,2080023,2080024,2080025,2080026,2080027,2080028,2080029,2080030,2080031,2080032,2080033,2080034,2080040,2080041,2080042,2080043,2080044,2080045,2080046,2080047,2080048,2080049,2080050,2080051,2080052,2080053,2080054,2080055,2080056,2080057,2080058,2080059,2080060,2080061,2080062,2080063,2080064,2080065,LoadScore,LoadLevel,PerfScore,PerfLevel
49,54,385.0,3.4,0,0,2.3,1.0,0.7,0.6,0.0,0.0,0,1.2,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,13,0,53,106.4,99.97,100,98.54,98.54,100.0,113.33,93.56,45.24,11.67,25.0,0.0,13.49,25.0,3.34,0.0,0,34,D,82,B
50,55,448.6,5.5,0,0,1.1,0.9,0.2,0.7,0.0,0.0,0,1.6,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,116.9,100.0,100,89.74,93.38,99.99,96.83,27.67,52.16,7.22,0.0,0.0,8.98,33.33,5.9,0.0,0,31,D,88,B
51,56,491.5,3.2,0,0,2.3,1.0,0.7,0.6,0.0,0.0,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,11,0,52,101.4,100.0,100,99.77,99.62,100.0,150.0,97.4,49.37,12.51,0.0,0.0,14.17,0.0,5.64,0.0,0,34,D,84,B
52,57,402.1,4.5,0,0,1.7,0.9,0.6,0.7,0.0,0.1,0,1.1,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,107.0,99.51,100,97.87,98.08,100.0,121.21,91.49,36.32,25.38,81.4,0.0,11.24,2.33,5.54,0.0,0,33,D,88,B
53,58,536.6,4.6,0,0,1.7,0.9,0.6,0.6,0.0,0.1,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,52,106.3,99.52,100,99.94,99.95,100.0,25.0,99.76,43.42,27.51,92.31,0.0,11.34,0.0,4.22,0.0,0,33,D,89,B
54,59,376.0,4.3,0,0,2.9,1.0,1.1,0.9,0.0,0.1,0,1.3,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,12,0,53,100.8,99.48,100,99.87,99.84,100.0,500.0,99.18,29.01,29.04,83.72,0.0,12.38,0.0,5.59,0.0,0,35,D,83,B
55,60,352.3,4.2,0,0,1.7,0.9,0.6,0.6,0.0,0.1,0,1.0,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,105.3,99.47,100,99.82,99.79,100.0,120.0,98.65,41.97,29.51,90.0,0.0,12.59,0.0,7.28,0.0,0,33,D,89,B
56,61,361.1,4.6,0,0,1.7,0.9,1.0,0.7,0.0,0.1,0,1.2,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0,51,108.2,99.51,100,99.25,99.48,99.99,100.0,98.56,39.33,27.13,90.0,0.0,11.28,0.0,5.64,100.0,0,35,D,88,B
57,62,402.1,4.8,0,0,1.8,0.9,2.2,0.7,0.0,0.1,0,1.5,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,106.4,99.54,100,99.08,99.33,99.99,112.5,98.34,33.94,25.57,90.0,0.0,10.63,0.0,3.02,0.0,0,33,D,89,B
58,63,460.4,8.5,0,0,2.6,1.0,2.4,1.0,0.0,0.1,0,2.3,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,14,0,38,65.3,99.81,100,98.77,96.34,100.0,63.64,89.44,22.1,27.9,52.94,0.0,6.6,1.47,2.87,50.0,0,35,D,80,B
59,64,396.5,5.8,0,0,1.8,0.9,2.2,0.7,0.0,0.1,0,1.6,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,52,106.1,99.58,100,98.06,98.41,100.0,103.23,94.24,33.03,21.36,81.82,0.0,8.8,0.0,2.96,0.0,0,33,D,89,B
60,65,412.1,5.7,0,0,1.7,0.9,2.4,0.8,0.0,0.1,0,1.5,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0,53,110.4,99.61,100,99.69,99.41,100.0,116.67,98.81,32.78,21.62,90.0,0.0,13.33,0.0,7.12,0.0,0,35,D,89,B
61,66,374.3,4.7,0,0,1.7,0.9,2.4,0.7,0.0,0.1,0,1.5,0.0,1.0,0,0,0,0,0,0.0,0.0,0,0,53,105.8,99.53,100,99.86,99.8,100.0,266.67,98.52,34.4,26.13,90.0,0.0,10.77,0.0,3.35,0.0,0,35,D,89,B
62,67,375.1,4.5,0,0,2.9,1.0,2.9,0.9,0.0,0.1,0,1.8,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,12,0,50,99.0,99.51,100,99.89,99.85,100.0,200.0,98.58,24.96,27.33,83.72,0.0,11.56,0.0,3.54,100.0,0,35,D,83,B
63,68,1174.6,123.4,0,0,3.1,1.0,2.4,2.3,0.2,0.2,0,8.7,0.0,3.0,0,0,0,0,0,0.01,0.0,0,0,44,49.3,99.89,100,92.95,90.57,99.84,68.77,82.55,37.37,48.19,71.46,0.0,41.61,7.49,5.18,0.0,0,47,D,84,B
64,69,5555.7,144.4,0,0,3.0,1.5,2.9,4.3,0.4,0.1,0,14.8,0.1,1.0,0,0,0,0,0,0.0,0.0,15,0,48,61.1,99.96,100,91.68,91.83,100.0,86.09,90.21,51.97,89.29,62.76,0.0,14.55,0.84,12.3,100.0,0,47,D,80,B
65,70,461.2,5.7,0,0,1.7,0.9,2.4,0.8,0.0,0.1,0,1.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,54,105.6,99.61,100,96.74,97.2,100.0,146.15,96.49,35.18,21.56,88.89,0.0,8.89,1.23,7.42,0.0,0,33,D,89,B
66,71,361.8,5.1,0,0,8.9,1.4,3.7,1.3,0.0,0.1,0,2.3,0.0,1.0,0,0,0,0,0,0.0,0.0,12,0,53,85.8,99.56,100,98.49,98.79,100.0,58.33,98.45,17.65,24.45,78.26,0.0,10.34,0.0,3.73,0.0,0,39,D,82,B
67,72,355.7,6.4,0,0,1.7,0.9,2.4,0.8,0.0,0.1,0,1.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,105.9,99.65,100,97.0,97.68,100.0,67.35,87.85,35.95,19.44,90.0,0.0,8.29,0.0,7.19,0.0,0,33,D,88,B
68,73,4374.5,172.6,0,0,4.3,1.9,2.4,11.1,0.9,0.1,0,20.4,0.5,1.0,0,0,0,0,0,0.0,0.0,1,0,21,97.9,99.98,100,96.7,91.5,99.99,98.54,-174.28,465.38,81.0,96.62,0.0,9.04,67.86,31.16,0.0,0,52,C,89,B
69,74,422.7,9.6,0,0,1.7,0.9,2.4,0.9,0.1,0.1,0,2.3,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,54,104.2,99.77,100,92.36,93.83,100.0,86.84,93.98,33.8,22.56,90.0,0.0,5.56,0.0,4.65,0.0,0,33,D,89,B
70,75,404.2,4.7,0,0,1.7,0.9,2.4,0.7,0.0,0.1,0,1.5,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,53,106.1,99.53,100,99.95,99.96,100.0,400.0,99.24,35.41,26.12,90.0,0.0,11.05,0.0,3.44,0.0,0,33,D,90,B
71,76,5238.7,198.6,0,0,3.0,1.1,2.6,3.8,0.3,0.2,0,14.9,0.1,1.0,0,0,0,0,0,0.0,0.0,0,0,75,76.0,99.92,100,92.25,91.72,99.96,81.0,88.52,70.8,71.98,213.79,0.0,30.86,7.44,4.19,0.0,0,47,D,86,B
72,77,1059.9,33.3,0,0,2.9,1.2,2.7,1.6,0.1,0.1,0,4.4,0.0,1.0,0,0,0,0,0,0.0,0.0,14,0,47,61.2,99.11,100,94.5,94.97,99.99,118.42,95.86,14.94,66.74,6.71,0.0,14.72,47.34,12.14,100.0,0,41,D,80,B
73,78,396.9,6.0,0,0,2.9,1.0,2.9,1.0,0.0,0.1,0,2.1,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,11,0,53,100.8,99.63,100,97.61,97.77,99.99,64.29,97.6,24.98,20.7,90.0,0.0,8.76,0.0,5.17,0.0,0,35,D,82,B
74,79,395.4,5.6,0,0,1.7,0.9,2.4,0.8,0.0,0.1,0,1.7,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,0,0,49,102.6,99.6,100,96.64,97.62,99.99,170.0,96.86,35.36,22.11,83.72,0.0,9.51,0.0,3.94,0.0,0,33,D,89,B
75,80,380.5,5.9,0,0,2.9,1.0,2.9,1.0,0.0,0.1,0,2.1,0.0,1.0629502572898797,0,0,0,0,0,0.0,0.0,12,0,50,100.7,99.63,100,96.94,97.57,100.0,100.0,97.25,25.17,21.18,90.0,0.0,8.69,0.0,4.23,100.0,0,35,D,82,B
